CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.970447) : (0.975195)) : (x<50 ? 0.979897:0.986213)) : (x<100 ? (x<80 ? (x<70 ? 0.978185:0.990225) : (0.983186)) : (x<120 ? 0.979226:0.975405))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.964053:1.02655) : (0.958822)) : (x<400 ? 1.09893:0.973513)) : (x<800 ? (x<670 ? 1.21138:1.12841) : (x<1000 ? 1.60243:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.05014) : (1.05499)) : (x<50 ? 0.901215:1.00895)) : (x<100 ? (x<80 ? (x<70 ? 1.15667:1.0481) : (1.10139)) : (x<120 ? 0.981197:1.12732))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.42307:1.18543) : (1.21651)) : (x<400 ? 1.3734:1.2294)) : (x<800 ? (x<670 ? 1.2638:1.74957) : (x<1000 ? 0.685315:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.23412) : (1.16376)) : (x<50 ? 1.25834:1.20646)) : (x<100 ? (x<80 ? (x<70 ? 1.42866:1.42184) : (1.39633)) : (x<120 ? 1.29069:1.61956))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.40012:1.55121) : (1.49345)) : (x<400 ? 1.88022:1.7631)) : (x<800 ? (x<670 ? 2.1345:2.61722) : (x<1000 ? 2.60349:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.961939) : (0.966879)) : (x<50 ? 0.970756:0.97576)) : (x<100 ? (x<80 ? (x<70 ? 0.966171:0.97597) : (0.970231)) : (x<120 ? 0.960534:0.953446))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.9245:0.954176) : (0.874912)) : (x<400 ? 0.988432:0.85582)) : (x<800 ? (x<670 ? 1.05238:0.828066) : (x<1000 ? 1.13714:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994153) : (0.992059)) : (x<50 ? 0.833287:0.921157)) : (x<100 ? (x<80 ? (x<70 ? 1.04023:0.928599) : (0.997675)) : (x<120 ? 0.867456:1.01231))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.24113:1.00457) : (0.991995)) : (x<400 ? 1.10103:0.959815)) : (x<800 ? (x<670 ? 0.968853:0.984647) : (x<1000 ? 0.346061:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.18554) : (1.11178)) : (x<50 ? 1.18195:1.12266)) : (x<100 ? (x<80 ? (x<70 ? 1.31129:1.29663) : (1.30135)) : (x<120 ? 1.18865:1.51692))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.31065:1.43744) : (1.37134)) : (x<400 ? 1.7245:1.5882)) : (x<800 ? (x<670 ? 1.92896:2.2241) : (x<1000 ? 2.15713:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.978954) : (0.983511)) : (x<50 ? 0.989039:0.996666)) : (x<100 ? (x<80 ? (x<70 ? 0.990198:1.00448) : (0.99614)) : (x<120 ? 0.997919:0.997364))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00361:1.09892) : (1.04273)) : (x<400 ? 1.20942:1.09121)) : (x<800 ? (x<670 ? 1.37039:1.42876) : (x<1000 ? 2.06772:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10612) : (1.11793)) : (x<50 ? 0.969143:1.09674)) : (x<100 ? (x<80 ? (x<70 ? 1.27311:1.16761) : (1.2051)) : (x<120 ? 1.09494:1.24233))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.60502:1.36629) : (1.44103)) : (x<400 ? 1.64576:1.49899)) : (x<800 ? (x<670 ? 1.55875:2.5145) : (x<1000 ? 1.02457:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.2827) : (1.21574)) : (x<50 ? 1.33473:1.29026)) : (x<100 ? (x<80 ? (x<70 ? 1.54603:1.54704) : (1.49131)) : (x<120 ? 1.39274:1.7222))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.48959:1.66498) : (1.61555)) : (x<400 ? 2.03593:1.93801)) : (x<800 ? (x<670 ? 2.34004:3.01035) : (x<1000 ? 3.04985:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.937417) : (0.944369)) : (x<50 ? 0.960696:0.962609)) : (x<100 ? (x<80 ? (x<70 ? 0.963234:0.971943) : (0.96612)) : (x<120 ? 0.957764:0.947082))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.90182:0.972407) : (0.891563)) : (x<400 ? 0.989782:1.0207)) : (x<800 ? (x<670 ? 1.00201:0.788245) : (x<1000 ? 1.06597:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03392) : (1.07351)) : (x<50 ? 0.794038:1.13319)) : (x<100 ? (x<80 ? (x<70 ? 0.790082:0.943294) : (0.86311)) : (x<120 ? 1.07487:0.859271))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.21928:1.08781) : (0.835821)) : (x<400 ? 0.988848:1.37576)) : (x<800 ? (x<670 ? 0.91913:0) : (x<1000 ? 0:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.195) : (1.29149)) : (x<50 ? 1.64378:1.00195)) : (x<100 ? (x<80 ? (x<70 ? 1.45322:1.798) : (1.70193)) : (x<120 ? 1.62229:1.629))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.55797:1.88389) : (2.54773)) : (x<400 ? 5.35138:3.24218)) : (x<800 ? (x<670 ? 2.02391:4.89455) : (x<1000 ? 25.3339:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.928592) : (0.935895)) : (x<50 ? 0.951305:0.951967)) : (x<100 ? (x<80 ? (x<70 ? 0.950934:0.957408) : (0.952889)) : (x<120 ? 0.938671:0.924583))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.861048:0.892642) : (0.798721)) : (x<400 ? 0.865089:0.864265)) : (x<800 ? (x<670 ? 0.830438:0.514088) : (x<1000 ? 0.683207:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.952672) : (0.980076)) : (x<50 ? 0.707029:0.981939)) : (x<100 ? (x<80 ? (x<70 ? 0.669206:0.782001) : (0.739225)) : (x<120 ? 0.883932:0.728305))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.951176:0.812) : (0.572081)) : (x<400 ? 0.617786:0.834499)) : (x<800 ? (x<670 ? 0.481313:0) : (x<1000 ? 0:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07817) : (1.14264)) : (x<50 ? 1.35744:0.803409)) : (x<100 ? (x<80 ? (x<70 ? 1.15041:1.35781) : (1.36795)) : (x<120 ? 1.25787:1.32891))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.00696:1.46097) : (1.9456)) : (x<400 ? 3.71849:2.27539)) : (x<800 ? (x<670 ? 1.45838:2.82488) : (x<1000 ? -0.588491:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.946242) : (0.952843)) : (x<50 ? 0.970087:0.973251)) : (x<100 ? (x<80 ? (x<70 ? 0.975533:0.986477) : (0.979351)) : (x<120 ? 0.976857:0.96958))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.942592:1.05217) : (0.984404)) : (x<400 ? 1.11448:1.17712)) : (x<800 ? (x<670 ? 1.17357:1.0624) : (x<1000 ? 1.44873:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.11517) : (1.16694)) : (x<50 ? 0.881047:1.28443)) : (x<100 ? (x<80 ? (x<70 ? 0.910957:1.10459) : (0.986995)) : (x<120 ? 1.26581:0.990238))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.48738:1.36362) : (1.09956)) : (x<400 ? 1.35991:1.91702)) : (x<800 ? (x<670 ? 1.35695:0) : (x<1000 ? 0:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.31183) : (1.44034)) : (x<50 ? 1.93012:1.2005)) : (x<100 ? (x<80 ? (x<70 ? 1.75602:2.2382) : (2.03592)) : (x<120 ? 1.98671:1.92908))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 3.10898:2.30681) : (3.14986)) : (x<400 ? 6.98428:4.20898)) : (x<800 ? (x<670 ? 2.58945:6.96421) : (x<1000 ? 51.2564:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.891367) : (0.899856)) : (x<50 ? 0.918944:0.925594)) : (x<100 ? (x<80 ? (x<70 ? 0.932619:0.932988) : (0.920479)) : (x<120 ? 0.899784:0.906117))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.836109:0.838409) : (0.847532)) : (x<400 ? 0.954121:0.966095)) : (x<800 ? (x<670 ? 0.676857:0.25618) : (x<1000 ? 0.908046:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.882461) : (1.05218)) : (x<50 ? 0.537215:1.30712)) : (x<100 ? (x<80 ? (x<70 ? 1.01582:1.74684) : (0.95619)) : (x<120 ? 1.10299:0.656522))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.66635:2.52174) : (1.60199)) : (x<400 ? 1.23606:2.57955)) : (x<800 ? (x<670 ? 6.31902:0) : (x<1000 ? 0:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.867767) : (0.776026)) : (x<50 ? 2.04055:0.851332)) : (x<100 ? (x<80 ? (x<70 ? 1.03801:1.94784) : (3.57406)) : (x<120 ? 1.57458:2.88825))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 3.80192:1.67457) : (4.41606)) : (x<400 ? 5.88652:4.13896)) : (x<800 ? (x<670 ? 1.64101:0) : (x<1000 ? 0:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.88179) : (0.890869)) : (x<50 ? 0.909075:0.914416)) : (x<100 ? (x<80 ? (x<70 ? 0.91963:0.917746) : (0.90671)) : (x<120 ? 0.880127:0.882216))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.792019:0.753074) : (0.734406)) : (x<400 ? 0.787546:0.756061)) : (x<800 ? (x<670 ? 0.507669:0.0901547) : (x<1000 ? 0.505457:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.756967) : (0.864978)) : (x<50 ? 0.412432:0.951573)) : (x<100 ? (x<80 ? (x<70 ? 0.682752:1.10221) : (0.687653)) : (x<120 ? 0.68902:0.442414))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.711825:0.996803) : (0.425401)) : (x<400 ? 0.400025:0.407588)) : (x<800 ? (x<670 ? -0.634743:0) : (x<1000 ? 0:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.730723) : (0.584306)) : (x<50 ? 1.0196:0.335524)) : (x<100 ? (x<80 ? (x<70 ? 0.482626:0.754011) : (0.707513)) : (x<120 ? 0.557524:1.20096))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.64494:0.592824) : (-0.522684)) : (x<400 ? 1.35846:0.864271)) : (x<800 ? (x<670 ? 0.580406:0) : (x<1000 ? 0:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.900945) : (0.908844)) : (x<50 ? 0.928813:0.936773)) : (x<100 ? (x<80 ? (x<70 ? 0.945608:0.94823) : (0.934249)) : (x<120 ? 0.91944:0.930018))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.880198:0.923745) : (0.960659)) : (x<400 ? 1.1207:1.17613)) : (x<800 ? (x<670 ? 0.846045:0.422205) : (x<1000 ? 1.31064:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00796) : (1.23938)) : (x<50 ? 0.661998:1.66266)) : (x<100 ? (x<80 ? (x<70 ? 1.34889:2.39148) : (1.22473)) : (x<120 ? 1.51695:0.87063))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.62087:4.04668) : (2.77858)) : (x<400 ? 2.07209:4.7515)) : (x<800 ? (x<670 ? 13.2728:0) : (x<1000 ? 0:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00481) : (0.967747)) : (x<50 ? 3.0615:1.36714)) : (x<100 ? (x<80 ? (x<70 ? 1.5934:3.14166) : (6.44061)) : (x<120 ? 2.59163:4.57554))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 5.95889:2.75631) : (9.35481)) : (x<400 ? 10.4146:7.41364)) : (x<800 ? (x<670 ? 2.70162:0) : (x<1000 ? 0:0)))" 
